fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L0111GEW30S05 1445689075 0 555 4.833140313E+18 4.622882246E-06 5.150000000E-04 6.429101922E-01 4.732848277E+02 1.130226050E-03 
L0111GEW30S10 1445689133 0 555 6.914512787E+18 1.031618902E-05 5.150000000E-04 6.456074024E-01 5.188806297E+02 1.546922888E-03 
L0111GEW30S15 1445689177 0 555 7.647756151E+18 1.776406730E-05 5.150000000E-04 6.472250477E-01 5.483076466E+02 1.635595311E-03 
L0112GEW30S20 1445761552 0 555 8.088892594E+18 3.129792810E-05 5.150000000E-04 6.477672144E-01 5.585391613E+02 1.989387245E-03 
L0112GEW30S25 1445761609 0 555 8.474476875E+18 6.114722766E-05 5.150000000E-04 6.482791932E-01 5.683761961E+02 1.963629310E-03 
L0112GEW30S30 1445819145 0 555 8.700018108E+18 6.846004090E-05 5.150000000E-04 6.488463335E-01 5.794754756E+02 2.208883137E-03 
L0113GEW30S40A 1445818073 0 555 8.732614822E+18 1.108403388E-04 5.150000000E-04 6.488116534E-01 5.787905853E+02 2.440267738E-03 
L0113GEW30S40B 1445818705 0 555 8.722298956E+18 2.696392982E-04 5.150000000E-04 6.493969254E-01 5.904582050E+02 2.061482635E-03 
L0113GEW30S50 1445818476 0 555 8.768511949E+18 9.999999745E+01 5.150000000E-04 6.494110615E-01 5.907429033E+02 2.158432924E-03 
L0116GEW30S25 1446025226 0 555 8.493417350E+18 4.669381701E-05 5.150000000E-04 6.483588650E-01 5.699224924E+02 1.992759575E-03 
L0116GEW30S30 1446025073 0 555 8.582082079E+18 7.048436287E-05 5.150000000E-04 6.488492187E-01 5.795324911E+02 2.025297364E-03 
