N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 9.508960000E-04 7.223850000E-04 5.744390000E-04 4.715040000E-04
1.600000000E+01 8.679607000E-03 7.989375000E-03 7.534783000E-03 7.230636000E-03
1.700000000E+01 4.630069500E-02 4.555803700E-02 4.532211300E-02 4.543787600E-02
1.549996187E+01 2.837267000E-03 2.558996000E-03 2.374460000E-03 2.234312000E-03
1.649996187E+01 2.142426800E-02 2.030060200E-02 1.964525000E-02 1.925500500E-02
1.674996808E+01 3.200498200E-02 3.090134200E-02 3.036812500E-02 3.014693700E-02
1.624993176E+01 1.386494200E-02 1.291399200E-02 1.232019900E-02 1.192882100E-02
1.574996808E+01 5.216343000E-03 4.762328000E-03 4.467888000E-03 4.264308000E-03
1.524993176E+01 8.862620000E-04 7.285920000E-04 6.058280000E-04 5.052690000E-04
