N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.185950624E+00 1.166632337E+00 1.127799847E+00 1.053421290E+00 1.012617784E+00 1.013679465E+00 1.016689443E+00 1.022334586E+00 1.031558236E+00 1.045360342E+00 1.064526218E+00
1.600000000E+01 1.241023398E+00 1.242883039E+00 1.244977016E+00 1.246993991E+00 1.248178550E+00 1.247754255E+00 1.244468594E+00 1.235960110E+00 1.218901082E+00 1.187775348E+00 1.135620916E+00
1.700000000E+01 1.308281536E+00 1.308358544E+00 1.309459186E+00 1.311675609E+00 1.314523781E+00 1.318097849E+00 1.322050520E+00 1.325982261E+00 1.329894110E+00 1.333029752E+00 1.335235950E+00
1.549996187E+01 1.219018860E+00 1.219220983E+00 1.217720459E+00 1.212336104E+00 1.199388312E+00 1.172161071E+00 1.120960913E+00 1.035713190E+00 1.008905880E+00 1.009652911E+00 1.011471119E+00
1.649996187E+01 1.269864725E+00 1.271157043E+00 1.273266222E+00 1.275933193E+00 1.278829207E+00 1.281791875E+00 1.284413649E+00 1.286010773E+00 1.286296136E+00 1.284347147E+00 1.279126888E+00
1.674996808E+01 1.287214957E+00 1.287996878E+00 1.289788657E+00 1.292409701E+00 1.295576260E+00 1.298735331E+00 1.302168355E+00 1.305204366E+00 1.307670559E+00 1.309126487E+00 1.308820209E+00
1.624993176E+01 1.254878849E+00 1.256681925E+00 1.258973417E+00 1.261519336E+00 1.263925564E+00 1.265347920E+00 1.266171296E+00 1.265065394E+00 1.260609351E+00 1.251088032E+00 1.231705257E+00
1.574996808E+01 1.229989958E+00 1.231454698E+00 1.232660200E+00 1.232836883E+00 1.230680533E+00 1.223707963E+00 1.208258777E+00 1.178109117E+00 1.125131802E+00 1.040980860E+00 1.007491148E+00
1.524993176E+01 1.206424787E+00 1.202470160E+00 1.192160671E+00 1.169092049E+00 1.122862311E+00 1.040682181E+00 1.010596972E+00 1.011551107E+00 1.013973263E+00 1.018379140E+00 1.025457180E+00
