T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.202858244E+00 1.217072765E+00 1.228849746E+00 1.240743047E+00 1.253497749E+00 1.269642639E+00 1.287402605E+00 1.307671074E+00 1.331062441E+00
295 1.195976016E+00 1.216317917E+00 1.229437827E+00 1.241589093E+00 1.254228157E+00 1.269968507E+00 1.286943557E+00 1.306593303E+00 1.329416563E+00
300 1.183096529E+00 1.213718894E+00 1.229897116E+00 1.242908059E+00 1.255663514E+00 1.271114593E+00 1.287532652E+00 1.306614883E+00 1.328720069E+00
305 1.155796181E+00 1.206868746E+00 1.229315052E+00 1.244324722E+00 1.257648523E+00 1.272975375E+00 1.289032497E+00 1.307684629E+00 1.329189940E+00
310 1.103017745E+00 1.191516508E+00 1.226388530E+00 1.245266329E+00 1.259668543E+00 1.275272889E+00 1.291225985E+00 1.309661047E+00 1.330502659E+00
315 1.014346071E+00 1.160500253E+00 1.218373374E+00 1.244576004E+00 1.261361401E+00 1.277316937E+00 1.294038481E+00 1.312087524E+00 1.332875027E+00
320 1.014454832E+00 1.103043626E+00 1.201110036E+00 1.240999946E+00 1.262238244E+00 1.279746680E+00 1.297186102E+00 1.315346830E+00 1.336062793E+00
325 1.016171653E+00 1.012025306E+00 1.168092592E+00 1.231958992E+00 1.261229695E+00 1.281628348E+00 1.300114141E+00 1.318837604E+00 1.339778510E+00
330 1.020029271E+00 1.012126641E+00 1.110296773E+00 1.213912330E+00 1.257220524E+00 1.282255720E+00 1.302773791E+00 1.322496734E+00 1.344089606E+00
335 1.026841723E+00 1.013425563E+00 1.020199779E+00 1.180727193E+00 1.247893398E+00 1.281131263E+00 1.304623421E+00 1.326018745E+00 1.348305085E+00
340 1.037688939E+00 1.016264343E+00 1.010166877E+00 1.124840425E+00 1.229812442E+00 1.275262148E+00 1.305242085E+00 1.328832711E+00 1.352348589E+00
