T file kT1 TDD
325 001_325 35.674 1.000000E+10
325 002_325 35.674 1.468000E+10
325 003_325 35.674 2.154000E+10
325 004_325 35.674 3.162000E+10
325 005_325 35.674 4.642000E+10
325 006_325 35.674 6.813000E+10
325 007_325 35.674 1.000000E+11
325 008_325 35.674 1.468000E+11
325 009_325 35.674 2.154000E+11
325 010_325 35.674 3.162000E+11
325 011_325 35.674 4.642000E+11
325 012_325 35.674 6.813000E+11
325 013_325 35.674 1.000000E+12
325 014_325 35.674 1.468000E+12
325 015_325 35.674 2.154000E+12
325 016_325 35.674 3.162000E+12
325 017_325 35.674 4.642000E+12
325 018_325 35.674 6.813000E+12
325 019_325 35.674 1.000000E+13
