d Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.500000000E+01 1.185081013E+00 1.198224783E+00 -1.314377000E-02 1.184962526E+00 1.197825906E+00 -1.286338000E-02 1.184870000E-04 3.988770000E-04
150 1.524993176E+01 1.212580998E+00 1.202833123E+00 9.747875000E-03 1.212310040E+00 1.202272028E+00 1.003801200E-02 2.709580000E-04 5.610950000E-04
150 1.549996187E+01 1.227860842E+00 1.206972191E+00 2.088865100E-02 1.227331374E+00 1.206191448E+00 2.113992600E-02 5.294680000E-04 7.807430000E-04
150 1.574996808E+01 1.240021190E+00 1.213452787E+00 2.656840300E-02 1.239010530E+00 1.212474768E+00 2.653576200E-02 1.010660000E-03 9.780190000E-04
150 1.600000000E+01 1.252279157E+00 1.219364200E+00 3.291495700E-02 1.250351000E+00 1.218177946E+00 3.217305400E-02 1.928157000E-03 1.186254000E-03
150 1.624993176E+01 1.265352544E+00 1.220576301E+00 4.477624300E-02 1.261696119E+00 1.219208623E+00 4.248749600E-02 3.656425000E-03 1.367678000E-03
150 1.649996187E+01 1.280965040E+00 1.221705859E+00 5.925918100E-02 1.274146292E+00 1.220086357E+00 5.405993500E-02 6.818748000E-03 1.619502000E-03
150 1.674996808E+01 1.299147614E+00 1.228830557E+00 7.031705700E-02 1.286840740E+00 1.226866779E+00 5.997396100E-02 1.230687400E-02 1.963778000E-03
150 1.700000000E+01 1.320119666E+00 1.243901509E+00 7.621815700E-02 1.299064259E+00 1.241441755E+00 5.762250400E-02 2.105540700E-02 2.459754000E-03
180 1.500000000E+01 1.180410528E+00 1.195266657E+00 -1.485612900E-02 1.180311618E+00 1.194940987E+00 -1.462936900E-02 9.891000000E-05 3.256700000E-04
180 1.524993176E+01 1.209134638E+00 1.199837322E+00 9.297316000E-03 1.208907091E+00 1.199384175E+00 9.522916000E-03 2.275470000E-04 4.531470000E-04
180 1.549996187E+01 1.223999092E+00 1.204039074E+00 1.996001800E-02 1.223558429E+00 1.203391697E+00 2.016673200E-02 4.406630000E-04 6.473770000E-04
180 1.574996808E+01 1.237253626E+00 1.210801762E+00 2.645186400E-02 1.236415719E+00 1.209975168E+00 2.644055100E-02 8.379070000E-04 8.265940000E-04
180 1.600000000E+01 1.249298879E+00 1.216725035E+00 3.257384400E-02 1.247693866E+00 1.215718259E+00 3.197560700E-02 1.605013000E-03 1.006776000E-03
180 1.624993176E+01 1.262513566E+00 1.218334586E+00 4.417898000E-02 1.259421926E+00 1.217134697E+00 4.228722900E-02 3.091640000E-03 1.199889000E-03
180 1.649996187E+01 1.277136088E+00 1.219678114E+00 5.745797400E-02 1.271225564E+00 1.218208618E+00 5.301694600E-02 5.910524000E-03 1.469496000E-03
