fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
UDL0 8:58 298.8 38.8 1.107E+000 2.329E-005 1.568E-009 3.417 1.193 2.392E+003 1.727E-004 0.1527 1.725E-004 8.411E-006 0.3193 
UDL1 9:1 298.9 38.79 1.107E+000 2.344E-005 1.637E-009 3.415 1.193 2.392E+003 1.742E-004 0.1531 1.741E-004 8.528E-006 0.3199 
UDL2 9:3 299 38.78 1.107E+000 2.306E-005 1.360E-009 3.393 1.179 2.392E+003 1.735E-004 0.1529 1.734E-004 8.486E-006 0.3201 
UDL3 9:6 299 38.78 1.107E+000 2.381E-005 1.795E-009 3.427 1.199 2.392E+003 1.743E-004 0.1527 1.742E-004 8.497E-006 0.3195 
UDL4 9:8 299 38.78 1.107E+000 2.390E-005 1.729E-009 3.432 1.196 2.392E+003 1.741E-004 0.1526 1.740E-004 8.474E-006 0.3192 
UDL5 9:11 299 38.78 1.107E+000 2.324E-005 1.396E-009 3.399 1.18 2.392E+003 1.729E-004 0.1524 1.728E-004 8.414E-006 0.3195 
UDL6 9:13 299 38.78 1.107E+000 2.367E-005 1.625E-009 3.423 1.191 2.392E+003 1.742E-004 0.1529 1.741E-004 8.503E-006 0.3196 
UDL7 9:15 299 38.78 1.107E+000 2.264E-005 9.823E-010 3.367 1.156 2.392E+003 1.737E-004 0.1532 1.736E-004 8.527E-006 0.3207 
UDL8 9:18 299 38.78 1.107E+000 2.381E-005 1.536E-009 3.426 1.187 2.392E+003 1.743E-004 0.1527 1.741E-004 8.493E-006 0.3195 
UDL9 9:20 299 38.78 1.107E+000 2.360E-005 1.497E-009 3.414 1.185 2.392E+003 1.726E-004 0.1519 1.724E-004 8.353E-006 0.3189 
