N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+15 315 1.500E-4 1.184068032E+00 1.185842498E+00
1.468000E+10 1.000E+15 315 1.500E-4 1.184641812E+00 1.185879729E+00
2.154000E+10 1.000E+15 315 1.500E-4 1.185085895E+00 1.185935873E+00
3.162000E+10 1.000E+15 315 1.500E-4 1.185463038E+00 1.186046496E+00
4.642000E+10 1.000E+15 315 1.500E-4 1.185801901E+00 1.186189315E+00
6.813000E+10 1.000E+15 315 1.500E-4 1.186168020E+00 1.186442080E+00
1.000000E+11 1.000E+15 315 1.500E-4 1.186628652E+00 1.186817124E+00
1.468000E+11 1.000E+15 315 1.500E-4 1.187239890E+00 1.187369474E+00
2.154000E+11 1.000E+15 315 1.500E-4 1.188075024E+00 1.188165178E+00
3.162000E+11 1.000E+15 315 1.500E-4 1.189205945E+00 1.189268652E+00
4.642000E+11 1.000E+15 315 1.500E-4 1.190778278E+00 1.190822655E+00
6.813000E+11 1.000E+15 315 1.500E-4 1.192848159E+00 1.192879741E+00
1.000000E+12 1.000E+15 315 1.500E-4 1.195507146E+00 1.195530435E+00
1.468000E+12 1.000E+15 315 1.500E-4 1.198724851E+00 1.198742051E+00
2.154000E+12 1.000E+15 315 1.500E-4 1.202408544E+00 1.202420764E+00
3.162000E+12 1.000E+15 315 1.500E-4 1.206327330E+00 1.206337561E+00
4.642000E+12 1.000E+15 315 1.500E-4 1.210186767E+00 1.210195274E+00
6.813000E+12 1.000E+15 315 1.500E-4 1.213757153E+00 1.213764048E+00
1.000000E+13 1.000E+15 315 1.500E-4 1.216984731E+00 1.216990470E+00
