N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.360E+15 290 3.800E-4 3.827545E+1 1.972120E+1 6.278890E-1 8.205970E+1 3.826716E+1 1.963510E+1 6.254190E-1 8.204190E+1 -2.1663484E-02 -4.3850044E-01 -3.9493524E-01 -2.1696231E-02
1.468000E+10 1.360E+15 290 3.800E-4 3.825489E+1 1.970320E+1 6.278460E-1 8.203450E+1 3.824324E+1 1.958090E+1 6.243010E-1 8.201320E+1 -3.0462900E-02 -6.2458825E-01 -5.6783507E-01 -2.5971429E-02
2.154000E+10 1.360E+15 290 3.800E-4 3.822484E+1 1.967680E+1 6.277830E-1 8.199740E+1 3.820852E+1 1.949780E+1 6.227390E-1 8.194440E+1 -4.2712987E-02 -9.1805229E-01 -8.0997015E-01 -6.4678001E-02
3.162000E+10 1.360E+15 290 3.800E-4 3.818100E+1 1.963820E+1 6.276900E-1 8.194260E+1 3.815839E+1 1.939370E+1 6.206010E-1 8.189510E+1 -5.9253024E-02 -1.2607187E+00 -1.1422798E+00 -5.8001028E-02
4.642000E+10 1.360E+15 290 3.800E-4 3.811722E+1 1.958170E+1 6.275550E-1 8.186130E+1 3.808653E+1 1.925580E+1 6.176870E-1 8.185040E+1 -8.0579670E-02 -1.6924771E+00 -1.5975729E+00 -1.3316978E-02
6.813000E+10 1.360E+15 290 3.800E-4 3.802486E+1 1.949920E+1 6.273550E-1 8.174020E+1 3.798460E+1 1.907680E+1 6.139510E-1 8.180200E+1 -1.0599032E-01 -2.2142078E+00 -2.1832361E+00 7.5548275E-02
1.000000E+11 1.360E+15 290 3.800E-4 3.789200E+1 1.937890E+1 6.270620E-1 8.155880E+1 3.784214E+1 1.884260E+1 6.093560E-1 8.171340E+1 -1.3175788E-01 -2.8462102E+00 -2.9056906E+00 1.8919785E-01
1.468000E+11 1.360E+15 290 3.800E-4 3.770281E+1 1.920410E+1 6.266300E-1 8.128480E+1 3.764700E+1 1.856780E+1 6.039080E-1 8.166940E+1 -1.4824554E-01 -3.4269003E+00 -3.7624936E+00 4.7092301E-01
2.154000E+11 1.360E+15 290 3.800E-4 3.743766E+1 1.895180E+1 6.259930E-1 8.086710E+1 3.738682E+1 1.823460E+1 5.978660E-1 8.157790E+1 -1.3598375E-01 -3.9331820E+00 -4.7045659E+00 8.7131441E-01
3.162000E+11 1.360E+15 290 3.800E-4 3.707523E+1 1.858650E+1 6.250530E-1 8.020400E+1 3.705172E+1 1.786430E+1 5.914920E-1 8.151340E+1 -6.3451845E-02 -4.0426997E+00 -5.6739567E+00 1.6063617E+00
