T Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.500000000E+01 1.195581832E+00 1.193396631E+00 2.185201000E-03 1.195545236E+00 1.193297564E+00 2.247672000E-03 3.659600000E-05 9.906700000E-05
290 1.549996187E+01 1.223988723E+00 1.201272343E+00 2.271638000E-02 1.223841812E+00 1.201072399E+00 2.276941300E-02 1.469110000E-04 1.999440000E-04
290 1.600000000E+01 1.248343028E+00 1.215991679E+00 3.235134900E-02 1.247766500E+00 1.215647848E+00 3.211865200E-02 5.765280000E-04 3.438310000E-04
290 1.649996187E+01 1.278113725E+00 1.222368640E+00 5.574508500E-02 1.275738776E+00 1.221782685E+00 5.395609100E-02 2.374949000E-03 5.859550000E-04
290 1.700000000E+01 1.318306037E+00 1.250689618E+00 6.761641900E-02 1.308901502E+00 1.249558611E+00 5.934289100E-02 9.404535000E-03 1.131007000E-03
295 1.500000000E+01 1.184562460E+00 1.055587290E+00 1.289751700E-01 1.184532328E+00 1.055437416E+00 1.290949120E-01 3.013200000E-05 1.498740000E-04
295 1.549996187E+01 1.224658835E+00 1.056118008E+00 1.685408270E-01 1.224525191E+00 1.055818303E+00 1.687068880E-01 1.336440000E-04 2.997050000E-04
295 1.600000000E+01 1.249636947E+00 1.053627747E+00 1.960092000E-01 1.249127895E+00 1.053128640E+00 1.959992550E-01 5.090520000E-04 4.991070000E-04
295 1.649996187E+01 1.278546606E+00 1.054278324E+00 2.242682820E-01 1.276447237E+00 1.053464818E+00 2.229824190E-01 2.099369000E-03 8.135060000E-04
295 1.700000000E+01 1.317444568E+00 1.059959884E+00 2.574846840E-01 1.308913902E+00 1.058599817E+00 2.503140850E-01 8.530666000E-03 1.360067000E-03
300 1.500000000E+01 1.160057779E+00 1.193077631E+00 -3.301985200E-02 1.160039112E+00 1.192992252E+00 -3.295314000E-02 1.866700000E-05 8.537900000E-05
300 1.549996187E+01 1.224543457E+00 1.204755259E+00 1.978819800E-02 1.224417216E+00 1.204573740E+00 1.984347600E-02 1.262410000E-04 1.815190000E-04
300 1.600000000E+01 1.251432272E+00 1.220333517E+00 3.109875500E-02 1.250971215E+00 1.219994476E+00 3.097673900E-02 4.610570000E-04 3.390410000E-04
300 1.649996187E+01 1.279994592E+00 1.227369161E+00 5.262543100E-02 1.278131711E+00 1.226814196E+00 5.131751500E-02 1.862881000E-03 5.549650000E-04
300 1.700000000E+01 1.317653893E+00 1.254814766E+00 6.283912700E-02 1.309953732E+00 1.253827112E+00 5.612662000E-02 7.700161000E-03 9.876540000E-04
305 1.500000000E+01 1.110267742E+00 1.030123150E+00 8.014459200E-02 1.110272989E+00 1.030058402E+00 8.021458700E-02 -5.247000000E-06 6.474800000E-05
