N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 3.162e+16 330 1.138429253E+00 1.163984856E+00
1.468000E+10 3.162e+16 330 1.145797230E+00 1.164180006E+00
2.154000E+10 3.162e+16 330 1.151422394E+00 1.164461097E+00
3.162000E+10 3.162e+16 330 1.155707417E+00 1.164865808E+00
4.642000E+10 3.162e+16 330 1.159051933E+00 1.165445482E+00
6.813000E+10 3.162e+16 330 1.161812668E+00 1.166261841E+00
1.000000E+11 3.162e+16 330 1.164299754E+00 1.167393607E+00
1.468000E+11 3.162e+16 330 1.166772298E+00 1.168926473E+00
2.154000E+11 3.162e+16 330 1.169433304E+00 1.170102638E+00
3.162000E+11 3.162e+16 330 1.170726095E+00 1.171177948E+00
4.642000E+11 3.162e+16 330 1.172286076E+00 1.172663104E+00
6.813000E+11 3.162e+16 330 1.176398334E+00 1.176905363E+00
1.000000E+12 3.162e+16 330 1.180143846E+00 1.180502385E+00
1.468000E+12 3.162e+16 330 1.182233361E+00 1.182484538E+00
2.154000E+12 3.162e+16 330 1.185444162E+00 1.185620878E+00
3.162000E+12 3.162e+16 330 1.189411367E+00 1.189570080E+00
4.642000E+12 3.162e+16 330 1.193451716E+00 1.193606937E+00
6.813000E+12 3.162e+16 330 1.198348099E+00 1.198500547E+00
1.000000E+13 3.162e+16 330 1.201396203E+00 1.201440032E+00
