N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 3.162e+16 340 1.140263119E+00 1.167837588E+00
1.468000E+10 3.162e+16 340 1.148691312E+00 1.168050134E+00
2.154000E+10 3.162e+16 340 1.155198932E+00 1.168362320E+00
3.162000E+10 3.162e+16 340 1.159884668E+00 1.168813832E+00
4.642000E+10 3.162e+16 340 1.163215927E+00 1.169459993E+00
6.813000E+10 3.162e+16 340 1.166025205E+00 1.170378233E+00
1.000000E+11 3.162e+16 340 1.168632122E+00 1.171665895E+00
1.468000E+11 3.162e+16 340 1.171317921E+00 1.173436559E+00
2.154000E+11 3.162e+16 340 1.174322961E+00 1.175615006E+00
3.162000E+11 3.162e+16 340 1.176056596E+00 1.176348152E+00
4.642000E+11 3.162e+16 340 1.177826547E+00 1.178545636E+00
6.813000E+11 3.162e+16 340 1.183744965E+00 1.184257762E+00
1.000000E+12 3.162e+16 340 1.186030903E+00 1.186134201E+00
1.468000E+12 3.162e+16 340 1.188775561E+00 1.189066380E+00
2.154000E+12 3.162e+16 340 1.193200689E+00 1.193407733E+00
3.162000E+12 3.162e+16 340 1.197977911E+00 1.198125021E+00
4.642000E+12 3.162e+16 340 1.202107275E+00 1.202211372E+00
6.813000E+12 3.162e+16 340 1.205203048E+00 1.205276294E+00
1.000000E+13 3.162e+16 340 1.208217166E+00 1.208269433E+00
