N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 3.162e+16 295 1.126870004E+00 1.133149548E+00
1.468000E+10 3.162e+16 295 1.128934304E+00 1.133285831E+00
2.154000E+10 3.162e+16 295 1.130477158E+00 1.133479937E+00
3.162000E+10 3.162e+16 295 1.131686553E+00 1.133753406E+00
4.642000E+10 3.162e+16 295 1.132710802E+00 1.134131626E+00
6.813000E+10 3.162e+16 295 1.133665096E+00 1.134641588E+00
1.000000E+11 3.162e+16 295 1.134637008E+00 1.135308460E+00
1.468000E+11 3.162e+16 295 1.135681768E+00 1.136143905E+00
2.154000E+11 3.162e+16 295 1.136819886E+00 1.137138288E+00
3.162000E+11 3.162e+16 295 1.138460964E+00 1.138784373E+00
4.642000E+11 3.162e+16 295 1.142616790E+00 1.143250071E+00
6.813000E+11 3.162e+16 295 1.148410626E+00 1.148992014E+00
1.000000E+12 3.162e+16 295 1.151918603E+00 1.151998105E+00
1.468000E+12 3.162e+16 295 1.152692324E+00 1.153158189E+00
2.154000E+12 3.162e+16 295 1.153996902E+00 1.154136346E+00
3.162000E+12 3.162e+16 295 1.154859921E+00 1.154912579E+00
4.642000E+12 3.162e+16 295 1.155558097E+00 1.155575982E+00
6.813000E+12 3.162e+16 295 1.156146984E+00 1.156158662E+00
1.000000E+13 3.162e+16 295 1.15638686E+00 1.15642336E+00
