N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 3.162e+16 330 1.181083034E+00 1.214860841E+00
1.468000E+10 3.162e+16 330 1.190621159E+00 1.214900221E+00
2.154000E+10 3.162e+16 330 1.197768135E+00 1.214957880E+00
3.162000E+10 3.162e+16 330 1.203005761E+00 1.215041721E+00
4.642000E+10 3.162e+16 330 1.206802251E+00 1.215163088E+00
6.813000E+10 3.162e+16 330 1.209561501E+00 1.215337656E+00
1.000000E+11 3.162e+16 330 1.211611584E+00 1.215587596E+00
1.468000E+11 3.162e+16 330 1.213209166E+00 1.215939864E+00
2.154000E+11 3.162e+16 330 1.214556089E+00 1.216429317E+00
3.162000E+11 3.162e+16 330 1.215808789E+00 1.217093193E+00
4.642000E+11 3.162e+16 330 1.217085839E+00 1.217966706E+00
6.813000E+11 3.162e+16 330 1.218466333E+00 1.219070842E+00
1.000000E+12 3.162e+16 330 1.219985488E+00 1.220400641E+00
1.468000E+12 3.162e+16 330 1.221743913E+00 1.222029547E+00
2.154000E+12 3.162e+16 330 1.224048439E+00 1.224245148E+00
3.162000E+12 3.162e+16 330 1.225413822E+00 1.225548596E+00
4.642000E+12 3.162e+16 330 1.230380082E+00 1.230475183E+00
6.813000E+12 3.162e+16 330 1.231876296E+00 1.231941818E+00
1.000000E+13 3.162e+16 330 1.233099068E+00 1.233138711E+00
