x N
1.6301662E+0 1.4199320E+21
1.6217570E+0 1.4145519E+21
1.6132396E+0 1.4503806E+21
1.6051642E+0 1.4855128E+21
1.5969547E+0 1.4708185E+21
1.5886322E+0 1.4684930E+21
1.5803105E+0 1.5234634E+21
1.5725067E+0 1.5914270E+21
1.5647949E+0 1.5609260E+21
1.5566071E+0 1.5560754E+21
1.5487660E+0 1.6097616E+21
1.5410332E+0 1.6242318E+21
1.5332526E+0 1.6235206E+21
1.5254342E+0 1.6110025E+21
1.5174513E+0 1.6031967E+21
1.5094733E+0 1.6106863E+21
1.5014805E+0 1.5910034E+21
1.4932175E+0 1.5594406E+21
1.4848045E+0 1.5046627E+21
1.4758341E+0 1.5062728E+21
1.4673403E+0 1.5563317E+21
1.4588310E+0 1.4980631E+21
1.4495683E+0 1.4242763E+21
1.4400218E+0 1.4009336E+21
1.4303198E+0 1.3724096E+21
1.4202384E+0 1.3722062E+21
1.4103973E+0 1.3055859E+21
1.3991409E+0 1.2654425E+21
1.3884710E+0 1.2508098E+21
1.3767746E+0 1.2005392E+21
