N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.056777510E-01 1.097986530E-01 1.132046260E-01 1.165309420E-01
1.016672606E+01 8.074758400E-02 8.405174400E-02 8.686174200E-02 8.963575700E-02
1.033324570E+01 6.046916600E-02 6.288782300E-02 6.500156300E-02 6.712121100E-02
1.049996187E+01 4.463500100E-02 4.624912000E-02 4.770321200E-02 4.919426200E-02
1.066670514E+01 3.261355400E-02 3.358118300E-02 3.448940700E-02 3.545332800E-02
1.083333839E+01 2.364512600E-02 2.414279200E-02 2.464407400E-02 2.520891800E-02
1.100000000E+01 1.702393600E-02 1.721135900E-02 1.743635200E-02 1.772506500E-02
1.116672606E+01 1.217230700E-02 1.217620200E-02 1.223168500E-02 1.234617000E-02
1.133324570E+01 8.645827000E-03 8.556937000E-03 8.521474000E-03 8.538087000E-03
1.149996187E+01 6.108764000E-03 5.986145000E-03 5.912720000E-03 5.883964000E-03
1.166670514E+01 4.306285000E-03 4.184781000E-03 4.105828000E-03 4.064280000E-03
1.183333839E+01 3.043341000E-03 2.940736000E-03 2.873326000E-03 2.836215000E-03
1.200000000E+01 2.170427000E-03 2.093156000E-03 2.043522000E-03 2.017270000E-03
1.216672606E+01 1.573840000E-03 1.521126000E-03 1.488709000E-03 1.473269000E-03
1.233324570E+01 1.168346000E-03 1.135541000E-03 1.116448000E-03 1.109016000E-03
1.249996187E+01 8.915310000E-04 8.727450000E-04 8.624610000E-04 8.599270000E-04
1.266670514E+01 6.992100000E-04 6.892090000E-04 6.840740000E-04 6.840970000E-04
1.283333839E+01 5.615210000E-04 5.564970000E-04 5.540730000E-04 5.552040000E-04
1.300000000E+01 4.591210000E-04 4.566970000E-04 4.555610000E-04 4.570270000E-04
