T d154 d184 d214 d244
d 150 180 210 240
290 5.527226700E-02 5.405729200E-02 5.381789500E-02 5.344100700E-02
295 5.334384600E-02 5.219021800E-02 5.191818700E-02 5.163796900E-02
300 5.198553300E-02 5.089370000E-02 5.070314500E-02 5.042936600E-02
305 5.055866700E-02 4.957089200E-02 4.922738200E-02 4.913475900E-02
310 4.845792900E-02 4.863031700E-02 4.827951300E-02 4.815629700E-02
315 4.810670800E-02 4.833444200E-02 4.802526300E-02 4.791825700E-02
320 4.780323600E-02 4.809775600E-02 4.783906100E-02 4.771633300E-02
325 4.769690100E-02 4.811657600E-02 4.790637700E-02 4.773646000E-02
330 4.819968600E-02 4.863969500E-02 4.848560500E-02 4.827755700E-02
335 4.825878400E-02 4.874666300E-02 4.861409500E-02 4.837393700E-02
340 4.791885500E-02 4.848596900E-02 4.840210500E-02 4.818666400E-02
