T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.286690168E+00 1.217033332E+00 6.965683600E-02 1.265222984E+00 1.212810402E+00 5.241258200E-02 2.146718400E-02 4.222930000E-03
295 1.287528016E+00 1.219808222E+00 6.771979400E-02 1.268124558E+00 1.215008931E+00 5.311562700E-02 1.940345800E-02 4.799291000E-03
300 1.289367330E+00 1.221960990E+00 6.740634000E-02 1.271386277E+00 1.216420748E+00 5.496552900E-02 1.798105300E-02 5.540242000E-03
305 1.292024420E+00 1.224104062E+00 6.792035800E-02 1.274718131E+00 1.217388920E+00 5.732921100E-02 1.730628900E-02 6.715142000E-03
310 1.295212292E+00 1.225572901E+00 6.963939100E-02 1.277751737E+00 1.217486581E+00 6.026515600E-02 1.746055500E-02 8.086320000E-03
315 1.298375937E+00 1.225345104E+00 7.303083300E-02 1.279897650E+00 1.216055857E+00 6.384179300E-02 1.847828700E-02 9.289247000E-03
320 1.301794099E+00 1.225050469E+00 7.674363000E-02 1.281407471E+00 1.213845005E+00 6.756246600E-02 2.038662800E-02 1.120546400E-02
325 1.304793547E+00 1.223677684E+00 8.111586300E-02 1.281636293E+00 1.210309970E+00 7.132632300E-02 2.315725400E-02 1.336771400E-02
330 1.307196878E+00 1.219998225E+00 8.719865300E-02 1.280436778E+00 1.204491389E+00 7.594538900E-02 2.676010000E-02 1.550683600E-02
335 1.308556530E+00 1.216576850E+00 9.197968000E-02 1.277457410E+00 1.198608101E+00 7.884930900E-02 3.109912000E-02 1.796874900E-02
340 1.308109933E+00 1.212066938E+00 9.604299500E-02 1.272170711E+00 1.191617563E+00 8.055314800E-02 3.593922200E-02 2.044937500E-02
