N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.227227815E+00 1.223084469E+00 1.220911641E+00 1.218514074E+00
1.016672606E+01 1.227261679E+00 1.223134133E+00 1.220981127E+00 1.218607935E+00
1.033324570E+01 1.227311148E+00 1.223206554E+00 1.221082182E+00 1.218743996E+00
1.049996187E+01 1.227383332E+00 1.223311893E+00 1.221228593E+00 1.218940197E+00
1.066670514E+01 1.227488411E+00 1.223464544E+00 1.221439554E+00 1.219220983E+00
1.083333839E+01 1.227640843E+00 1.223684526E+00 1.221741123E+00 1.219618581E+00
1.100000000E+01 1.227860842E+00 1.223999092E+00 1.222167526E+00 1.220173527E+00
1.116672606E+01 1.228176086E+00 1.224444114E+00 1.222761652E+00 1.220933612E+00
1.133324570E+01 1.228623386E+00 1.225064746E+00 1.223573910E+00 1.221950403E+00
1.149996187E+01 1.229249767E+00 1.225914591E+00 1.224658834E+00 1.223273569E+00
1.166670514E+01 1.230112234E+00 1.227052670E+00 1.226069764E+00 1.224944742E+00
1.183333839E+01 1.231275474E+00 1.228538479E+00 1.227853202E+00 1.226993749E+00
1.200000000E+01 1.232807200E+00 1.230426133E+00 1.230044711E+00 1.229437827E+00
1.216672606E+01 1.234771521E+00 1.232758598E+00 1.232665849E+00 1.232281042E+00
1.233324570E+01 1.237220520E+00 1.235561187E+00 1.235720005E+00 1.235512098E+00
1.249996187E+01 1.240183793E+00 1.238834036E+00 1.239188589E+00 1.239104167E+00
1.266670514E+01 1.243657732E+00 1.242547916E+00 1.243033323E+00 1.243021508E+00
1.283333839E+01 1.247601153E+00 1.246649833E+00 1.247207008E+00 1.247229799E+00
1.300000000E+01 1.251944013E+00 1.251077867E+00 1.251665557E+00 1.251701435E+00
