fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0T01 10:58:40 295 39.3 1.000E+000 8.364E-001 5.194E-006 2.140E+004 3.065E+000 2.693E-009 8.223E-004 
0T02 11:01:24 295 39.3 1.000E+000 8.665E-001 4.962E-006 2.043E+004 3.068E+000 2.690E-009 9.176E-004 
0T03 11:03:52 295 39.3 1.000E+000 8.463E-001 5.110E-006 2.051E+004 3.067E+000 2.697E-009 8.557E-004 
0T04 11:07:22 295.1 39.29 1.000E+000 8.318E-001 5.297E-006 2.068E+004 3.065E+000 2.730E-009 9.320E-004 
0T05 11:10:26 295 39.3 1.000E+000 8.452E-001 5.072E-006 2.060E+004 3.064E+000 2.711E-009 8.840E-004 
0T06 11:13:12 295 39.3 1.000E+000 8.319E-001 5.159E-006 2.082E+004 3.066E+000 2.709E-009 8.474E-004 
0T07 11:15:40 295 39.3 1.000E+000 8.635E-001 5.000E-006 2.115E+004 3.067E+000 2.706E-009 9.293E-004 
0T08 11:18:50 295 39.3 1.000E+000 8.577E-001 5.088E-006 2.052E+004 3.064E+000 2.722E-009 8.293E-004 
0T09 11:21:34 295 39.3 1.000E+000 8.329E-001 5.277E-006 2.114E+004 3.064E+000 2.722E-009 8.928E-004 
0T10 11:26:10 294.9 39.32 1.000E+000 8.411E-001 5.019E-006 2.120E+004 3.066E+000 2.699E-009 8.701E-004 
0T11 11:28:36 295.1 39.29 1.000E+000 8.400E-001 5.241E-006 2.062E+004 3.064E+000 2.749E-009 8.433E-004 
0T12 11:31:32 295 39.3 1.000E+000 8.626E-001 4.946E-006 2.143E+004 3.069E+000 2.710E-009 9.279E-004 
0T13 11:34:00 295 39.3 1.000E+000 8.627E-001 5.014E-006 2.152E+004 3.066E+000 2.722E-009 8.346E-004 
0T14 11:37:32 295.1 39.29 1.000E+000 8.484E-001 5.213E-006 2.004E+004 3.061E+000 2.765E-009 8.733E-004 
0T15 11:39:48 295 39.3 1.000E+000 8.610E-001 4.973E-006 2.149E+004 3.066E+000 2.723E-009 9.273E-004 
0T16 11:43:40 295.1 39.29 1.000E+000 8.500E-001 5.147E-006 2.085E+004 3.062E+000 2.762E-009 8.540E-004 
0T17 11:46:30 295.1 39.29 1.000E+000 8.598E-001 5.087E-006 2.153E+004 3.065E+000 2.749E-009 8.747E-004 
0T18 11:49:10 294.9 39.32 1.000E+000 8.536E-001 5.009E-006 2.035E+004 3.064E+000 2.718E-009 8.902E-004 
0T19 11:52:42 294.9 39.32 1.000E+000 8.534E-001 4.984E-006 2.167E+004 3.068E+000 2.705E-009 2.724E-003 
0T20 11:55:20 295 39.3 1.000E+000 8.574E-001 4.992E-006 2.267E+004 3.069E+000 2.722E-009 8.848E-004 
0T21 11:57:48 295 39.3 1.000E+000 8.505E-001 5.104E-006 2.143E+004 3.065E+000 2.740E-009 8.220E-004 
0T22 12:02:54 295.1 39.29 1.000E+000 8.479E-001 5.195E-006 2.180E+004 3.064E+000 2.768E-009 8.811E-004 
