fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
GL060 10:01:36 308.2 37.62 1.000E+000 7.271E-001 3.755E-010 1.846E+003 3.029E+000 2.068E-005 2.755E-005 3.213E-002 2.753E-005 2.293E-007 2.593E-001 1.640E-002 1.390E-005 1.257E-003 
GL065 9:59:50 308.3 37.61 1.000E+000 7.240E-001 3.785E-010 1.844E+003 3.025E+000 2.070E-005 3.604E-005 4.105E-002 3.602E-005 3.878E-007 2.623E-001 2.100E-002 1.838E-005 1.068E-003 
GL070 9:57:58 308.3 37.61 1.000E+000 7.148E-001 3.763E-010 1.844E+003 3.018E+000 2.053E-005 4.488E-005 5.001E-002 4.485E-005 5.956E-007 2.655E-001 2.580E-002 2.300E-005 2.389E-003 
GL075 9:56:02 308.3 37.61 1.000E+000 7.145E-001 3.787E-010 1.844E+003 3.022E+000 2.063E-005 5.601E-005 6.052E-002 5.597E-005 9.136E-007 2.697E-001 3.150E-002 2.891E-005 4.012E-003 
GL080 9:53:56 308.3 37.61 1.000E+000 7.172E-001 3.795E-010 1.844E+003 3.026E+000 2.068E-005 6.821E-005 7.133E-002 6.817E-005 1.334E-006 2.743E-001 3.740E-002 3.557E-005 3.675E-003 
GL085 9:51:50 308.2 37.62 1.000E+000 7.274E-001 3.793E-010 1.846E+003 3.030E+000 2.071E-005 8.228E-005 8.297E-002 8.223E-005 1.908E-006 2.796E-001 4.400E-002 4.326E-005 2.877E-003 
GL090 9:49:52 308.2 37.62 1.000E+000 7.121E-001 3.717E-010 1.846E+003 3.030E+000 2.076E-005 9.710E-005 9.416E-002 9.704E-005 2.606E-006 2.852E-001 5.050E-002 5.149E-005 2.521E-003 
GL095 9:46:58 308.1 37.63 1.000E+000 7.226E-001 3.714E-010 1.848E+003 3.032E+000 2.072E-005 1.123E-004 1.050E-001 1.123E-004 3.427E-006 2.908E-001 5.680E-002 6.022E-005 1.306E-003 
GL100 9:44:12 308.2 37.62 1.000E+000 7.421E-001 3.801E-010 1.846E+003 3.029E+000 2.066E-005 1.301E-004 1.164E-001 1.300E-004 4.498E-006 2.972E-001 6.370E-002 7.050E-005 1.315E-003 
GL105 9:41:32 308.2 37.62 1.000E+000 7.238E-001 3.763E-010 1.846E+003 3.026E+000 2.063E-005 1.478E-004 1.267E-001 1.477E-004 5.682E-006 3.035E-001 7.010E-002 8.095E-005 3.700E-003 
GL110 9:38:38 308.2 37.62 1.000E+000 7.188E-001 3.748E-010 1.846E+003 3.019E+000 2.054E-005 1.673E-004 1.371E-001 1.672E-004 7.114E-006 3.103E-001 7.680E-002 9.251E-005 4.096E-003 
