Fe T nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+01 290 1.140940846E+00 1.120174649E+0 2.076619700E-02 1.140940846E+00 1.120174649E+0 2.076619700E-02
1.000000000E+01 295 1.134531122E+00 1.106359807E+0 2.817131500E-02 1.134531122E+00 1.106359807E+0 2.817131500E-02
1.000000000E+01 300 1.116968128E+00 1.092332335E+0 2.463579300E-02 1.116968128E+00 1.092332335E+0 2.463579300E-02
1.000000000E+01 305 1.095348216E+00 1.078796956E+0 1.655126000E-02 1.095348216E+00 1.078796956E+0 1.655126000E-02
1.000000000E+01 310 1.072119825E+00 1.066294951E+0 5.824874000E-03 1.072119825E+00 1.066294951E+0 5.824874000E-03
1.000000000E+01 315 1.033478897E+00 1.055157936E+0 -2.167903900E-02 1.033478897E+00 1.055157936E+0 -2.167903900E-02
1.000000000E+01 320 1.007357244E+00 1.045519743E+0 -3.816249900E-02 1.007357244E+00 1.045519743E+0 -3.816249900E-02
1.000000000E+01 325 1.006766067E+00 1.037362557E+0 -3.059649000E-02 1.006766067E+00 1.037362557E+0 -3.059649000E-02
1.000000000E+01 330 1.007681088E+00 1.030572057E+0 -2.289096900E-02 1.007681088E+00 1.030572057E+0 -2.289096900E-02
1.000000000E+01 335 1.009749832E+00 1.024985284E+0 -1.523545200E-02 1.009749832E+00 1.024985284E+0 -1.523545200E-02
1.000000000E+01 340 1.016802765E+00 1.020424941E+0 -3.622176000E-03 1.016802765E+00 1.020424941E+0 -3.622176000E-03
1.016672606E+01 290 1.141984951E+00 1.123255955E+0 1.872899600E-02 1.141984951E+00 1.123255955E+0 1.872899600E-02
1.016672606E+01 295 1.134900734E+00 1.109571432E+0 2.532930200E-02 1.134900734E+00 1.109571432E+0 2.532930200E-02
1.016672606E+01 300 1.117247258E+00 1.095521737E+0 2.172552100E-02 1.117247258E+00 1.095521737E+0 2.172552100E-02
1.016672606E+01 305 1.096038753E+00 1.081829069E+0 1.420968400E-02 1.096038753E+00 1.081829069E+0 1.420968400E-02
1.016672606E+01 310 1.072310078E+00 1.069071102E+0 3.238976000E-03 1.072310078E+00 1.069071102E+0 3.238976000E-03
1.016672606E+01 315 1.033993071E+00 1.057621941E+0 -2.362887000E-02 1.033993071E+00 1.057621941E+0 -2.362887000E-02
1.016672606E+01 320 1.007512532E+00 1.047653419E+0 -4.014088700E-02 1.007512532E+00 1.047653419E+0 -4.014088700E-02
1.016672606E+01 325 1.006893801E+00 1.039175749E+0 -3.228194800E-02 1.006893801E+00 1.039175749E+0 -3.228194800E-02
1.016672606E+01 330 1.007819046E+00 1.032091831E+0 -2.427278500E-02 1.007819046E+00 1.032091831E+0 -2.427278500E-02
1.016672606E+01 335 1.009920157E+00 1.026246956E+0 -1.632679900E-02 1.009920157E+00 1.026246956E+0 -1.632679900E-02
1.016672606E+01 340 1.017075443E+00 1.021465816E+0 -4.390373000E-03 1.017075443E+00 1.021465816E+0 -4.390373000E-03
1.033324570E+01 290 1.142774277E+00 1.126289841E+0 1.648443600E-02 1.142774277E+00 1.126289841E+0 1.648443600E-02
1.033324570E+01 295 1.135254190E+00 1.112765187E+0 2.248900300E-02 1.135254190E+00 1.112765187E+0 2.248900300E-02
1.033324570E+01 300 1.117457436E+00 1.098723659E+0 1.873377700E-02 1.117457436E+00 1.098723659E+0 1.873377700E-02
1.033324570E+01 305 1.096778564E+00 1.084899615E+0 1.187894900E-02 1.096778564E+00 1.084899615E+0 1.187894900E-02
1.033324570E+01 310 1.072452329E+00 1.071903892E+0 5.484370000E-04 1.072452329E+00 1.071903892E+0 5.484370000E-04
1.033324570E+01 315 1.034669154E+00 1.060152393E+0 -2.548323900E-02 1.034669154E+00 1.060152393E+0 -2.548323900E-02
1.033324570E+01 320 1.007632463E+00 1.049856132E+0 -4.222366900E-02 1.007632463E+00 1.049856132E+0 -4.222366900E-02
1.033324570E+01 325 1.007005059E+00 1.041055392E+0 -3.405033300E-02 1.007005059E+00 1.041055392E+0 -3.405033300E-02
1.033324570E+01 330 1.007912475E+00 1.033672354E+0 -2.575987900E-02 1.007912475E+00 1.033672354E+0 -2.575987900E-02
1.033324570E+01 335 1.010029492E+00 1.027562220E+0 -1.753272800E-02 1.010029492E+00 1.027562220E+0 -1.753272800E-02
1.033324570E+01 340 1.017238818E+00 1.022552813E+0 -5.313995000E-03 1.017238818E+00 1.022552813E+0 -5.313995000E-03
1.049996187E+01 290 1.143395682E+00 1.129278512E+0 1.411717000E-02 1.143395682E+00 1.129278512E+0 1.411717000E-02
1.049996187E+01 295 1.135640933E+00 1.115942633E+0 1.969830000E-02 1.135640933E+00 1.115942633E+0 1.969830000E-02
1.049996187E+01 300 1.117628904E+00 1.101939820E+0 1.568908400E-02 1.117628904E+00 1.101939820E+0 1.568908400E-02
1.049996187E+01 305 1.097674973E+00 1.088011120E+0 9.663853000E-03 1.097674973E+00 1.088011120E+0 9.663853000E-03
1.049996187E+01 310 1.072568617E+00 1.074796920E+0 -2.228303000E-03 1.072568617E+00 1.074796920E+0 -2.228303000E-03
1.049996187E+01 315 1.035601127E+00 1.062753830E+0 -2.715270300E-02 1.035601127E+00 1.062753830E+0 -2.715270300E-02
1.049996187E+01 320 1.007856110E+00 1.052133005E+0 -4.427689500E-02 1.007856110E+00 1.052133005E+0 -4.427689500E-02
1.049996187E+01 325 1.007048221E+00 1.043006781E+0 -3.595856000E-02 1.007048221E+00 1.043006781E+0 -3.595856000E-02
1.049996187E+01 330 1.007972054E+00 1.035318756E+0 -2.734670200E-02 1.007972054E+00 1.035318756E+0 -2.734670200E-02
1.049996187E+01 335 1.010090157E+00 1.028935813E+0 -1.884565600E-02 1.010090157E+00 1.028935813E+0 -1.884565600E-02
1.049996187E+01 340 1.017311233E+00 1.023690154E+0 -6.378921000E-03 1.017311233E+00 1.023690154E+0 -6.378921000E-03
1.066670514E+01 290 1.143926206E+00 1.132214046E+0 1.171216000E-02 1.143926206E+00 1.132214046E+0 1.171216000E-02
1.066670514E+01 295 1.136114040E+00 1.119094481E+0 1.701955900E-02 1.136114040E+00 1.119094481E+0 1.701955900E-02
1.066670514E+01 300 1.117786069E+00 1.105160861E+0 1.262520800E-02 1.117786069E+00 1.105160861E+0 1.262520800E-02
1.066670514E+01 305 1.098874597E+00 1.091155339E+0 7.719258000E-03 1.098874597E+00 1.091155339E+0 7.719258000E-03
1.066670514E+01 310 1.072673680E+00 1.077743765E+0 -5.070085000E-03 1.072673680E+00 1.077743765E+0 -5.070085000E-03
1.066670514E+01 315 1.036914102E+00 1.065421837E+0 -2.850773500E-02 1.036914102E+00 1.065421837E+0 -2.850773500E-02
1.066670514E+01 320 1.007931095E+00 1.054481404E+0 -4.655030900E-02 1.007931095E+00 1.054481404E+0 -4.655030900E-02
1.066670514E+01 325 1.007093619E+00 1.045028651E+0 -3.793503200E-02 1.007093619E+00 1.045028651E+0 -3.793503200E-02
1.066670514E+01 330 1.008005354E+00 1.037030704E+0 -2.902535000E-02 1.008005354E+00 1.037030704E+0 -2.902535000E-02
1.066670514E+01 335 1.010109973E+00 1.030367968E+0 -2.025799500E-02 1.010109973E+00 1.030367968E+0 -2.025799500E-02
1.066670514E+01 340 1.017302075E+00 1.024878371E+0 -7.576296000E-03 1.017302075E+00 1.024878371E+0 -7.576296000E-03
1.083333839E+01 290 1.144436849E+00 1.135089672E+0 9.347177000E-03 1.144436849E+00 1.135089672E+0 9.347177000E-03
1.083333839E+01 295 1.136733781E+00 1.122212346E+0 1.452143500E-02 1.136733781E+00 1.122212346E+0 1.452143500E-02
1.083333839E+01 300 1.117950979E+00 1.108377990E+0 9.572989000E-03 1.117950979E+00 1.108377990E+0 9.572989000E-03
1.083333839E+01 305 1.100192295E+00 1.094324275E+0 5.868020000E-03 1.100192295E+00 1.094324275E+0 5.868020000E-03
1.083333839E+01 310 1.073489568E+00 1.080738045E+0 -7.248477000E-03 1.073489568E+00 1.080738045E+0 -7.248477000E-03
1.083333839E+01 315 1.038775019E+00 1.068151934E+0 -2.937691500E-02 1.038775019E+00 1.068151934E+0 -2.937691500E-02
1.083333839E+01 320 1.007916159E+00 1.056898607E+0 -4.898244800E-02 1.007916159E+00 1.056898607E+0 -4.898244800E-02
1.083333839E+01 325 1.007135703E+00 1.047119670E+0 -3.998396700E-02 1.007135703E+00 1.047119670E+0 -3.998396700E-02
1.083333839E+01 330 1.008017778E+00 1.038807834E+0 -3.079005600E-02 1.008017778E+00 1.038807834E+0 -3.079005600E-02
1.083333839E+01 335 1.010092797E+00 1.031858922E+0 -2.176612500E-02 1.010092797E+00 1.031858922E+0 -2.176612500E-02
1.083333839E+01 340 1.017212438E+00 1.026118025E+0 -8.905587000E-03 1.017212438E+00 1.026118025E+0 -8.905587000E-03
