fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
0DL0 7:26 295.7 39.21 2.086E+000 2.282E-006 7.757E-011 2.824 1.031 4.183E+002 1.795E-004 0.07339 1.786E-004 3.271E-006 0.2495 
0DL1 7:30 295.7 39.21 2.086E+000 2.418E-006 7.280E-011 2.85 1.028 4.183E+002 1.778E-004 0.07265 1.769E-004 3.200E-006 0.249 
0DL2 7:32 295.8 39.2 2.067E+000 2.507E-006 8.314E-011 2.87 1.034 4.191E+002 1.774E-004 0.07256 1.765E-004 3.189E-006 0.249 
0DL3 7:35 295.8 39.2 2.067E+000 2.400E-006 8.910E-011 2.855 1.038 4.191E+002 1.820E-004 0.07448 1.811E-004 3.373E-006 0.2502 
0DL4 7:38 295.8 39.2 2.067E+000 2.955E-006 1.354E-010 2.989 1.061 4.191E+002 1.778E-004 0.07255 1.769E-004 3.197E-006 0.2491 
0DL5 7:40 295.9 39.18 2.049E+000 2.512E-006 1.003E-010 2.877 1.045 4.199E+002 1.787E-004 0.07321 1.778E-004 3.247E-006 0.2495 
0DL6 7:42 295.9 39.18 2.049E+000 2.482E-006 1.054E-010 2.872 1.047 4.199E+002 1.782E-004 0.07304 1.773E-004 3.228E-006 0.2493 
0DL7 7:45 296 39.17 2.030E+000 2.853E-006 1.391E-010 2.961 1.063 4.207E+002 1.771E-004 0.07258 1.763E-004 3.186E-006 0.2491 
0DL8 7:49 296 39.17 2.030E+000 2.559E-006 1.145E-010 2.886 1.052 4.207E+002 1.748E-004 0.07175 1.739E-004 3.098E-006 0.2483 
0DL9 7:51 296 39.17 2.030E+000 2.715E-006 1.245E-010 2.924 1.056 4.207E+002 1.778E-004 0.07291 1.769E-004 3.216E-006 0.2493 
