B T nFsrh nFBsrh dnsrh nF nFB dn
1.500000000E+01 290 1.150535618E+00 1.156533019E+0 -5.997401000E-03 1.150535618E+00 1.156533019E+0 -5.997401000E-03
1.500000000E+01 295 1.155072075E+00 1.149701940E+0 5.370135000E-03 1.155072075E+00 1.149701940E+0 5.370135000E-03
1.500000000E+01 300 1.158073752E+00 1.131543460E+0 2.653029200E-02 1.158073752E+00 1.131543460E+0 2.653029200E-02
1.500000000E+01 305 1.143009556E+00 1.099660705E+0 4.334885100E-02 1.143009556E+00 1.099660705E+0 4.334885100E-02
1.500000000E+01 310 1.124317125E+00 1.062558836E+0 6.175828900E-02 1.124317125E+00 1.062558836E+0 6.175828900E-02
1.500000000E+01 315 1.103184737E+00 1.033424983E+0 6.975975400E-02 1.103184737E+00 1.033424983E+0 6.975975400E-02
1.500000000E+01 320 1.084522753E+00 1.016264082E+0 6.825867100E-02 1.084522753E+00 1.016264082E+0 6.825867100E-02
1.500000000E+01 325 1.018462628E+00 1.007631244E+0 1.083138400E-02 1.018462628E+00 1.007631244E+0 1.083138400E-02
1.500000000E+01 330 1.016891881E+00 1.003565457E+0 1.332642400E-02 1.016891881E+00 1.003565457E+0 1.332642400E-02
1.500000000E+01 335 1.015722484E+00 1.001683500E+0 1.403898400E-02 1.015722484E+00 1.001683500E+0 1.403898400E-02
1.500000000E+01 340 1.017873104E+00 1.000808203E+0 1.706490100E-02 1.017873104E+00 1.000808203E+0 1.706490100E-02
1.524993176E+01 290 1.16316255E+00 1.169336157E+0 -6.173607000E-03 1.16316255E+00 1.169336157E+0 -6.173607000E-03
1.524993176E+01 295 1.163405474E+00 1.170413909E+0 -7.008435000E-03 1.163405474E+00 1.170413909E+0 -7.008435000E-03
1.524993176E+01 300 1.168752900E+00 1.168089643E+0 6.632570000E-04 1.168752900E+00 1.168089643E+0 6.632570000E-04
1.524993176E+01 305 1.173110521E+00 1.158493516E+0 1.461700500E-02 1.173110521E+00 1.158493516E+0 1.461700500E-02
1.524993176E+01 310 1.175811798E+00 1.136691100E+0 3.912069800E-02 1.175811798E+00 1.136691100E+0 3.912069800E-02
1.524993176E+01 315 1.152137421E+00 1.102207912E+0 4.992950900E-02 1.152137421E+00 1.102207912E+0 4.992950900E-02
1.524993176E+01 320 1.132795922E+00 1.064605933E+0 6.818998900E-02 1.132795922E+00 1.064605933E+0 6.818998900E-02
1.524993176E+01 325 1.118840017E+00 1.035562352E+0 8.327766500E-02 1.118840017E+00 1.035562352E+0 8.327766500E-02
1.524993176E+01 330 1.093934102E+00 1.018062208E+0 7.587189400E-02 1.093934102E+00 1.018062208E+0 7.587189400E-02
1.524993176E+01 335 1.016115207E+00 1.008880255E+0 7.234952000E-03 1.016115207E+00 1.008880255E+0 7.234952000E-03
1.524993176E+01 340 1.014956829E+00 1.004345159E+0 1.061167000E-02 1.014956829E+00 1.004345159E+0 1.061167000E-02
1.549996187E+01 290 1.172268556E+00 1.178455413E+0 -6.186857000E-03 1.172268556E+00 1.178455413E+0 -6.186857000E-03
1.549996187E+01 295 1.172308166E+00 1.181463466E+0 -9.155300000E-03 1.172308166E+00 1.181463466E+0 -9.155300000E-03
1.549996187E+01 300 1.175530628E+00 1.183710978E+0 -8.180350000E-03 1.175530628E+00 1.183710978E+0 -8.180350000E-03
1.549996187E+01 305 1.181696286E+00 1.184107031E+0 -2.410745000E-03 1.181696286E+00 1.184107031E+0 -2.410745000E-03
1.549996187E+01 310 1.187203765E+00 1.180343879E+0 6.859886000E-03 1.187203765E+00 1.180343879E+0 6.859886000E-03
1.549996187E+01 315 1.182636126E+00 1.168417884E+0 1.421824200E-02 1.182636126E+00 1.168417884E+0 1.421824200E-02
1.549996187E+01 320 1.181246461E+00 1.144021296E+0 3.722516500E-02 1.181246461E+00 1.144021296E+0 3.722516500E-02
1.549996187E+01 325 1.160363098E+00 1.107915884E+0 5.244721400E-02 1.160363098E+00 1.107915884E+0 5.244721400E-02
1.549996187E+01 330 1.149324617E+00 1.069657442E+0 7.966717500E-02 1.149324617E+00 1.069657442E+0 7.966717500E-02
1.549996187E+01 335 1.129387766E+00 1.039799076E+0 8.958869000E-02 1.129387766E+00 1.039799076E+0 8.958869000E-02
1.549996187E+01 340 1.105008800E+00 1.021137287E+0 8.387151300E-02 1.105008800E+00 1.021137287E+0 8.387151300E-02
1.574996808E+01 290 1.177223098E+00 1.187006917E+0 -9.783819000E-03 1.177223098E+00 1.187006917E+0 -9.783819000E-03
1.574996808E+01 295 1.184674391E+00 1.190552544E+0 -5.878153000E-03 1.184674391E+00 1.190552544E+0 -5.878153000E-03
1.574996808E+01 300 1.182056555E+00 1.193938708E+0 -1.188215300E-02 1.182056555E+00 1.193938708E+0 -1.188215300E-02
1.574996808E+01 305 1.189085726E+00 1.196916874E+0 -7.831148000E-03 1.189085726E+00 1.196916874E+0 -7.831148000E-03
1.574996808E+01 310 1.195733808E+00 1.198910472E+0 -3.176664000E-03 1.195733808E+00 1.198910472E+0 -3.176664000E-03
1.574996808E+01 315 1.196412330E+00 1.198662785E+0 -2.250455000E-03 1.196412330E+00 1.198662785E+0 -2.250455000E-03
1.574996808E+01 320 1.198332524E+00 1.193710421E+0 4.622103000E-03 1.198332524E+00 1.193710421E+0 4.622103000E-03
1.574996808E+01 325 1.202669779E+00 1.180140418E+0 2.252936100E-02 1.202669779E+00 1.180140418E+0 2.252936100E-02
1.574996808E+01 330 1.189810593E+00 1.154226249E+0 3.558434400E-02 1.189810593E+00 1.154226249E+0 3.558434400E-02
1.574996808E+01 335 1.180668566E+00 1.117216548E+0 6.345201800E-02 1.180668566E+00 1.117216548E+0 6.345201800E-02
1.574996808E+01 340 1.161896980E+00 1.078030856E+0 8.386612400E-02 1.161896980E+00 1.078030856E+0 8.386612400E-02
1.600000000E+01 290 1.191152411E+00 1.195640590E+0 -4.488179000E-03 1.191152411E+00 1.195640590E+0 -4.488179000E-03
1.600000000E+01 295 1.189921889E+00 1.199433909E+0 -9.512020000E-03 1.189921889E+00 1.199433909E+0 -9.512020000E-03
1.600000000E+01 300 1.197800083E+00 1.203198468E+0 -5.398385000E-03 1.197800083E+00 1.203198468E+0 -5.398385000E-03
1.600000000E+01 305 1.195304039E+00 1.206878520E+0 -1.157448100E-02 1.195304039E+00 1.206878520E+0 -1.157448100E-02
1.600000000E+01 310 1.202868361E+00 1.210342429E+0 -7.474068000E-03 1.202868361E+00 1.210342429E+0 -7.474068000E-03
1.600000000E+01 315 1.210157967E+00 1.213290052E+0 -3.132085000E-03 1.210157967E+00 1.213290052E+0 -3.132085000E-03
1.600000000E+01 320 1.207514355E+00 1.215066164E+0 -7.551809000E-03 1.207514355E+00 1.215066164E+0 -7.551809000E-03
1.600000000E+01 325 1.214058094E+00 1.214327971E+0 -2.698770000E-04 1.214058094E+00 1.214327971E+0 -2.698770000E-04
1.600000000E+01 330 1.215000101E+00 1.208604503E+0 6.395598000E-03 1.215000101E+00 1.208604503E+0 6.395598000E-03
1.600000000E+01 335 1.219156588E+00 1.194210030E+0 2.494655800E-02 1.219156588E+00 1.194210030E+0 2.494655800E-02
1.600000000E+01 340 1.207410992E+00 1.167825819E+0 3.958517300E-02 1.207410992E+00 1.167825819E+0 3.958517300E-02
