B T nFsrh nFBsrh dnsrh nF nFB dn
1.500000000E+01 290 1.148006629E+00 1.143295434E+0 4.711195000E-03 1.148006629E+00 1.143295434E+0 4.711195000E-03
1.500000000E+01 295 1.148232147E+00 1.143083345E+0 5.148802000E-03 1.148232147E+00 1.143083345E+0 5.148802000E-03
1.500000000E+01 300 1.135630691E+00 1.138146845E+0 -2.516154000E-03 1.135630691E+00 1.138146845E+0 -2.516154000E-03
1.500000000E+01 305 1.116178931E+00 1.123720271E+0 -7.541340000E-03 1.116178931E+00 1.123720271E+0 -7.541340000E-03
1.500000000E+01 310 1.095797512E+00 1.096446108E+0 -6.485960000E-04 1.095797512E+00 1.096446108E+0 -6.485960000E-04
1.500000000E+01 315 1.077601948E+00 1.062268523E+0 1.533342500E-02 1.077601948E+00 1.062268523E+0 1.533342500E-02
1.500000000E+01 320 1.019116917E+00 1.033806582E+0 -1.468966500E-02 1.019116917E+00 1.033806582E+0 -1.468966500E-02
1.500000000E+01 325 1.008694303E+00 1.016491887E+0 -7.797584000E-03 1.008694303E+00 1.016491887E+0 -7.797584000E-03
1.500000000E+01 330 1.008197138E+00 1.007693302E+0 5.038360000E-04 1.008197138E+00 1.007693302E+0 5.038360000E-04
1.500000000E+01 335 1.009400398E+00 1.003559414E+0 5.840984000E-03 1.009400398E+00 1.003559414E+0 5.840984000E-03
1.500000000E+01 340 1.011875603E+00 1.001661476E+0 1.021412700E-02 1.011875603E+00 1.001661476E+0 1.021412700E-02
1.524993176E+01 290 1.155234878E+00 1.151612210E+0 3.622668000E-03 1.155234878E+00 1.151612210E+0 3.622668000E-03
1.524993176E+01 295 1.158050950E+00 1.153969811E+0 4.081139000E-03 1.158050950E+00 1.153969811E+0 4.081139000E-03
1.524993176E+01 300 1.155469473E+00 1.155295134E+0 1.743390000E-04 1.155469473E+00 1.155295134E+0 1.743390000E-04
1.524993176E+01 305 1.157538650E+00 1.154048570E+0 3.490080000E-03 1.157538650E+00 1.154048570E+0 3.490080000E-03
1.524993176E+01 310 1.138257311E+00 1.147073844E+0 -8.816533000E-03 1.138257311E+00 1.147073844E+0 -8.816533000E-03
