N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.194928571E+00 1.199447163E+00 1.203420091E+00 1.209908818E+00 1.215475857E+00 1.216286873E+00 1.216229875E+00 1.221505404E+00 1.233464360E+00
1.016672606E+01 1.194944386E+00 1.199467705E+00 1.203448944E+00 1.209952250E+00 1.215543593E+00 1.216401631E+00 1.216435108E+00 1.221889149E+00 1.234162205E+00
1.033324570E+01 1.194967540E+00 1.199497780E+00 1.203521930E+00 1.210015725E+00 1.215642353E+00 1.216568174E+00 1.216730118E+00 1.222430612E+00 1.235116471E+00
1.049996187E+01 1.195001441E+00 1.199541799E+00 1.203607907E+00 1.210155952E+00 1.215786058E+00 1.216808791E+00 1.217150615E+00 1.223182854E+00 1.236388766E+00
1.066670514E+01 1.195051041E+00 1.199606189E+00 1.203707650E+00 1.210300089E+00 1.215994410E+00 1.217154146E+00 1.217742881E+00 1.224206771E+00 1.238033426E+00
1.083333839E+01 1.195123509E+00 1.199700239E+00 1.203845868E+00 1.210513349E+00 1.216294900E+00 1.217645220E+00 1.218563768E+00 1.225565063E+00 1.240085631E+00
1.100000000E+01 1.195266657E+00 1.199837322E+00 1.204039074E+00 1.210801762E+00 1.216725035E+00 1.218334586E+00 1.219678114E+00 1.227312737E+00 1.242552981E+00
1.116672606E+01 1.195456412E+00 1.200036505E+00 1.204314983E+00 1.211219664E+00 1.217356667E+00 1.219286008E+00 1.221152489E+00 1.229486745E+00 1.245416084E+00
1.133324570E+01 1.195675981E+00 1.200324610E+00 1.204700631E+00 1.211789357E+00 1.218221520E+00 1.220570862E+00 1.223045677E+00 1.232099288E+00 1.248639031E+00
1.149996187E+01 1.196006700E+00 1.200738660E+00 1.205263254E+00 1.212590377E+00 1.219394794E+00 1.222260710E+00 1.225398364E+00 1.235147585E+00 1.252184674E+00
1.166670514E+01 1.196459150E+00 1.201328295E+00 1.206055558E+00 1.213704928E+00 1.220948240E+00 1.224416415E+00 1.228225917E+00 1.238582911E+00 1.256027493E+00
1.183333839E+01 1.197096575E+00 1.202157468E+00 1.207154148E+00 1.215203899E+00 1.222975386E+00 1.227076541E+00 1.231517457E+00 1.242383068E+00 1.260166409E+00
1.200000000E+01 1.197980092E+00 1.203303830E+00 1.208670292E+00 1.217196788E+00 1.225519997E+00 1.230249269E+00 1.235242333E+00 1.246522720E+00 1.264592002E+00
1.216672606E+01 1.199190141E+00 1.204853847E+00 1.210630127E+00 1.219715728E+00 1.228635439E+00 1.233911904E+00 1.239362332E+00 1.250989440E+00 1.269321314E+00
1.233324570E+01 1.200825935E+00 1.206893119E+00 1.213151414E+00 1.222823734E+00 1.232279513E+00 1.238020098E+00 1.243844412E+00 1.255783785E+00 1.274367484E+00
1.249996187E+01 1.202939162E+00 1.209476984E+00 1.216284220E+00 1.226499751E+00 1.236425011E+00 1.242523708E+00 1.248666828E+00 1.260894286E+00 1.279730577E+00
1.266670514E+01 1.205604049E+00 1.212644633E+00 1.220001464E+00 1.230710874E+00 1.240999150E+00 1.247380565E+00 1.253815903E+00 1.266342009E+00 1.285432087E+00
1.283333839E+01 1.208822104E+00 1.216372235E+00 1.224249139E+00 1.235367422E+00 1.245954882E+00 1.252560091E+00 1.259277950E+00 1.272092403E+00 1.291433087E+00
1.300000000E+01 1.212567498E+00 1.220601101E+00 1.228944587E+00 1.240409080E+00 1.251223871E+00 1.258037322E+00 1.265032689E+00 1.278151104E+00 1.297700161E+00
