Fe B nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+01 1.700000000E+01 1.207913109E+00 1.206855961E+0 1.057148000E-03 1.207913109E+00 1.206855961E+0 1.057148000E-03
1.016672606E+01 1.700000000E+01 1.207918144E+00 1.208180721E+0 -2.625770000E-04 1.207918144E+00 1.208180721E+0 -2.625770000E-04
1.033324570E+01 1.700000000E+01 1.207925319E+00 1.209490594E+0 -1.565275000E-03 1.207925319E+00 1.209490594E+0 -1.565275000E-03
1.049996187E+01 1.700000000E+01 1.207935651E+00 1.210789095E+0 -2.853444000E-03 1.207935651E+00 1.210789095E+0 -2.853444000E-03
1.066670514E+01 1.700000000E+01 1.207950566E+00 1.212075207E+0 -4.124641000E-03 1.207950566E+00 1.212075207E+0 -4.124641000E-03
1.083333839E+01 1.700000000E+01 1.207972039E+00 1.213348198E+0 -5.376159000E-03 1.207972039E+00 1.213348198E+0 -5.376159000E-03
1.100000000E+01 1.700000000E+01 1.208002789E+00 1.214609437E+0 -6.606648000E-03 1.208002789E+00 1.214609437E+0 -6.606648000E-03
1.116672606E+01 1.700000000E+01 1.208046405E+00 1.215859480E+0 -7.813075000E-03 1.208046405E+00 1.215859480E+0 -7.813075000E-03
1.133324570E+01 1.700000000E+01 1.208107337E+00 1.217096590E+0 -8.989253000E-03 1.208107337E+00 1.217096590E+0 -8.989253000E-03
1.149996187E+01 1.700000000E+01 1.208190780E+00 1.218324031E+0 -1.013325100E-02 1.208190780E+00 1.218324031E+0 -1.013325100E-02
1.166670514E+01 1.700000000E+01 1.208301942E+00 1.219540793E+0 -1.123885100E-02 1.208301942E+00 1.219540793E+0 -1.123885100E-02
1.183333839E+01 1.700000000E+01 1.208444553E+00 1.220746132E+0 -1.230157900E-02 1.208444553E+00 1.220746132E+0 -1.230157900E-02
1.200000000E+01 1.700000000E+01 1.216208001E+00 1.221941297E+0 -5.733296000E-03 1.216208001E+00 1.221941297E+0 -5.733296000E-03
1.216672606E+01 1.700000000E+01 1.219591982E+00 1.223126772E+0 -3.534790000E-03 1.219591982E+00 1.223126772E+0 -3.534790000E-03
1.233324570E+01 1.700000000E+01 1.219840795E+00 1.224300865E+0 -4.460070000E-03 1.219840795E+00 1.224300865E+0 -4.460070000E-03
1.249996187E+01 1.700000000E+01 1.220149982E+00 1.225466635E+0 -5.316653000E-03 1.220149982E+00 1.225466635E+0 -5.316653000E-03
1.266670514E+01 1.700000000E+01 1.220447891E+00 1.226623085E+0 -6.175194000E-03 1.220447891E+00 1.226623085E+0 -6.175194000E-03
1.283333839E+01 1.700000000E+01 1.235478865E+00 1.227769472E+0 7.709393000E-03 1.235478865E+00 1.227769472E+0 7.709393000E-03
1.300000000E+01 1.700000000E+01 1.244880720E+00 1.228906950E+0 1.597377000E-02 1.244880720E+00 1.228906950E+0 1.597377000E-02
