Fe B nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+01 1.700000000E+01 1.243768499E+00 1.230989157E+0 1.277934200E-02 1.243768499E+00 1.230989157E+0 1.277934200E-02
1.016672606E+01 1.700000000E+01 1.243804625E+00 1.232468472E+0 1.133615300E-02 1.243804625E+00 1.232468472E+0 1.133615300E-02
1.033324570E+01 1.700000000E+01 1.243856984E+00 1.233931164E+0 9.925820000E-03 1.243856984E+00 1.233931164E+0 9.925820000E-03
1.049996187E+01 1.700000000E+01 1.243933209E+00 1.235381156E+0 8.552053000E-03 1.243933209E+00 1.235381156E+0 8.552053000E-03
1.066670514E+01 1.700000000E+01 1.244043804E+00 1.236817314E+0 7.226490000E-03 1.244043804E+00 1.236817314E+0 7.226490000E-03
1.083333839E+01 1.700000000E+01 1.244202917E+00 1.238238821E+0 5.964096000E-03 1.244202917E+00 1.238238821E+0 5.964096000E-03
1.100000000E+01 1.700000000E+01 1.244430313E+00 1.239647205E+0 4.783108000E-03 1.244430313E+00 1.239647205E+0 4.783108000E-03
1.116672606E+01 1.700000000E+01 1.244751112E+00 1.241043086E+0 3.708026000E-03 1.244751112E+00 1.241043086E+0 3.708026000E-03
1.133324570E+01 1.700000000E+01 1.245196127E+00 1.242424526E+0 2.771601000E-03 1.245196127E+00 1.242424526E+0 2.771601000E-03
1.149996187E+01 1.700000000E+01 1.245799170E+00 1.243795168E+0 2.004002000E-03 1.245799170E+00 1.243795168E+0 2.004002000E-03
1.166670514E+01 1.700000000E+01 1.246591312E+00 1.245153885E+0 1.437427000E-03 1.246591312E+00 1.245153885E+0 1.437427000E-03
1.183333839E+01 1.700000000E+01 1.247590422E+00 1.246499847E+0 1.090575000E-03 1.247590422E+00 1.246499847E+0 1.090575000E-03
1.200000000E+01 1.700000000E+01 1.248788982E+00 1.247834449E+0 9.545330000E-04 1.248788982E+00 1.247834449E+0 9.545330000E-04
1.216672606E+01 1.700000000E+01 1.250162762E+00 1.249158228E+0 1.004534000E-03 1.250162762E+00 1.249158228E+0 1.004534000E-03
1.233324570E+01 1.700000000E+01 1.251837363E+00 1.250469299E+0 1.368064000E-03 1.251837363E+00 1.250469299E+0 1.368064000E-03
1.249996187E+01 1.700000000E+01 1.253428693E+00 1.251771075E+0 1.657618000E-03 1.253428693E+00 1.251771075E+0 1.657618000E-03
1.266670514E+01 1.700000000E+01 1.259235997E+00 1.253062445E+0 6.173552000E-03 1.259235997E+00 1.253062445E+0 6.173552000E-03
1.283333839E+01 1.700000000E+01 1.260528311E+00 1.254342577E+0 6.185734000E-03 1.260528311E+00 1.254342577E+0 6.185734000E-03
1.300000000E+01 1.700000000E+01 1.261744312E+00 1.255612761E+0 6.131551000E-03 1.261744312E+00 1.255612761E+0 6.131551000E-03
